Nombre Artista,Reproducciones,Oyentes,Biografia,Artistas Similares,Tags,Ontour
Chris Brown,142231756,4538550,"Christopher Maurice Brown (born May 5, 1989) is an American singer, songwriter, dancer, and actor. A pop and hip-hop-influenced R&B musician who works in a variety of genres, he has been called the ""King of R&B"" by some of his contemporaries. His lyrics often address emotional and hedonistic themes. His singing and dancing skills have often been compared favorably to those of Michael Jackson.

In late 2005, he released his first studio album, Chris Brown <a href=""https://www.last.fm/music/Chris+Brown"">Read more on Last.fm</a>","Chris Brown & Tyga, Trey Songz, August Alsina, Omarion, Usher","rnb, Hip-Hop, Chris Brown, rap, hip hop",1
Carla Morrison,7728966,348705,"Carla Patricia Morrison Flores  (Tecate, Baja California, July 19, 1986), better known as Carla Morrison, is an independent Mexican alternative pop singer-songwriter, winner of three Latin Grammy Awards: two for her album ""Déjenme llorar"", which has been certified Platinum, and one for her song “Vez primera”, from the album ""Amor supremo"" in 2012.

Carla Morrison has three studio albums: ""Dejenme Llorar"" (2012), ""Amor supremo"" (2015) and ""El renacimiento"" (2022). <a href=""https://www.last.fm/music/Carla+Morrison"">Read more on Last.fm</a>","Kevin Kaarl, Jósean Log, Julieta Venegas, Ximena Sariñana, León Larregui","indie pop, female vocalists, dream pop, mexico, alternative",0
Manuel Carrasco,1174807,80558,"Manuel Carrasco (born January 15, 1981) is a Spanish singer who was born in Isla Cristina, Province of Huelva (Andalucía), Spain. He was one of the three finalists of the second edition of TV program Operación Triunfo and his debut album called ""Quiéreme"" sold more than 200,000 records. <a href=""https://www.last.fm/music/Manuel+Carrasco"">Read more on Last.fm</a>","Antonio Orozco, India Martinez, Vanesa Martín, Antonio José, Melendi","pop, spanish, Flamenco, romantico, pop espanol",0
Gorillaz,456286319,6468907,"Gorillaz are a British virtual band created in 1998 by musician Damon Albarn and artist Jamie Hewlett. The band currently consists of four animated members: Murdoc Niccals (bass guitar) who formed the band, 2-D (lead vocals, keyboards), Noodle (guitar, vocals) and Russel Hobbs (drums and percussion). Their fictional universe is explored through animated music videos, interviews and animated shorts. In reality, Albarn is the only permanent musical contributor and often collaborates with other musicians. <a href=""https://www.last.fm/music/Gorillaz"">Read more on Last.fm</a>","The Good, the Bad & the Queen, Damon Albarn, Radiohead, MGMT, Tally Hall","electronic, alternative, Hip-Hop, rock, indie",1
Kehlani,58651102,1477837,"Kehlani Ashley Parrish (born April 24, 1995), known professionally as Kehlani, is an American singer and songwriter. Kehlani is originally from Oakland, California where they achieved initial fame as a member of the teen pop group, Poplyfe, which was a finalist on America's Got Talent. Kehlani released their first mixtape Cloud 19, in 2014; followed by their sophomore mixtape You Should Be Here the next year. Their debut album SweetSexySavage was released in January 2017 to mainly positive reception <a href=""https://www.last.fm/music/Kehlani"">Read more on Last.fm</a>","Kiana Ledé, Summer Walker, Victoria Monét, Normani, Chlöe","rnb, pop, soul, Hip-Hop, female vocalists",0
Genki Rockets,795309,25063,"Genki Rockets (元気ロケッツ) is a virtual music group created by Tetsuya Mizuguchi's Q-Entertainment for the video game Lumines II. The group also includes Kenji Tamai, vocalist and voice actress Nami Miyahara (宮原永海), and Rachel Rhodes, professionally known as Rei Yasuda (安田レイ) who provide the lead vocals and is the actress for the fictional character Lumi, who appears as the cover girl for the band's albums and music videos.  <a href=""https://www.last.fm/music/Genki+Rockets"">Read more on Last.fm</a>","安田レイ, 元気ロケッツ, 宇多田ヒカル, Utada, Perfume","j-pop, electronic, japanese, pop, House",0
Charlie Brown Jr.,64845786,705820,"Charlie Brown Jr. was a Brazilian alternative rock band from Santos, São Paulo. The group was popular with disadvantaged youth because of their relatable commentary about social issues and the frequent use of skate punk and hip hop slang in their songs. The band won two Latin Grammy Awards and was one of the most-popular Brazilian bands of the late 1990s to mid-2000s. <a href=""https://www.last.fm/music/Charlie+Brown+Jr."">Read more on Last.fm</a>","O Rappa, O Surto, CPM 22, Detonautas Roque Clube, Raimundos","rock, brazilian rock, brazilian, pop rock, pop",1
Arijit Singh,9360197,184757,"Arijit Singh (Hindi:अरिजित सिंह; born 25 April 1987 in Murshidabad, India) is an Indian playback singer whose songs have been featured in recent Bollywood movies. He was one of top six contestants in reality-singing series, Fame Gurukul in 2005 and became an assistant to music director Pritam.

Singh is a trained classical singer who has performed in many stage shows. His career as a playback singer started when he participated in a singing reality show called Fame Gurukul (2005), while still in college. <a href=""https://www.last.fm/music/Arijit+Singh"">Read more on Last.fm</a>","Vishal Mishra, Atif Aslam, Ankit Tiwari, Pritam, Mithoon","Hindi, bollywood, Indian, Soundtrack, india",0
Ja Rule,10705626,1225093,"Jeffrey Atkins (born February 29, 1976 in Queens, New York), better known by his stage name Ja Rule, is an American rapper, singer and actor signed to his own label Mpire Records. He began his career in the group Cash Money Click and released his debut solo album, Venni Vetti Vecci, in 1999. He has since released 2000's Rule 3:36, 2001's Pain Is Love, 2002's The Last Temptation, 2003's Blood in My Eye and 2004's R.U.L.E. He now plans to release his seventh studio album, Venni Vetti Vecci 2010, sometime later this year. <a href=""https://www.last.fm/music/Ja+Rule"">Read more on Last.fm</a>","Nelly, Fat Joe, Chingy, Fabolous, Bow Wow","rap, Hip-Hop, Gangsta Rap, rnb, hip hop",0
Paul Simon,51004054,2048660,"Paul Frederic Simon (born October 13, 1941) is an American singer-songwriter. One of the most celebrated artists of the twentieth century, Simon's career has spanned six decades. Born in New Jersey, Simon grew up in the borough of Queens in New York City and developed an interest in rock music in his teens.

He began performing with his schoolfriend Art Garfunkel in 1956; together the two came to prominence in the 1960s as Simon & Garfunkel. The duo's blend of folk and rock music in hits like ""The Sound of Silence"", ""Mrs. <a href=""https://www.last.fm/music/Paul+Simon"">Read more on Last.fm</a>","Simon & Garfunkel, James Taylor, Van Morrison, Cat Stevens, Jackson Browne","singer-songwriter, folk, classic rock, acoustic, rock",0
Maná,17855290,789304,"There is more than one artist with this name:

1) Maná (note the accent) is a Mexican  rock  group that had its origins near the end of the 1970s in Guadalajara, Jalisco, México. Their sound has strong influences from hard rock and more mellow pop sounds with additional influences from calypso and reggae. They started with the name ""Sombrero Verde"", but in the late 80's it was changed to the current name. They have a long trajectory as musicians and the band underwent two lineup changes in the 90's. <a href=""https://www.last.fm/music/+noredirect/Man%C3%A1"">Read more on Last.fm</a>","Enanitos Verdes, Elefante, Hombres G, Vilma Palma E Vampiros, Juanes","rock, latin, Latin Rock, spanish, Rock en Espanol",1
Kid Ink,11793380,839630,"Covered from head to toe in tattoos, Los Angeles-based rapper Kid Ink (aka Brian Collins) is wrecking havoc on the streets and in cyber world. The Rapper/Producer/Songwriter/Tattoo Aficionado has released three studio albums and charted two Top 20 hits in the USA.

Having spent the majority of the early part of his career behind the control board and not the mic, Kid Ink crafting his production skills working with multi-platinum artists like Sean “Diddy” Combs and Sean Kingston as well Yung Berg and Nipsey Hussle. <a href=""https://www.last.fm/music/Kid+Ink"">Read more on Last.fm</a>","Chris Brown, Chris Brown & Tyga, Tyga, DJ Khaled, Wiz Khalifa","Hip-Hop, rap, west coast, hip hop, hipster rap",0
Jorge Drexler,11712295,308801,"Jorge Drexler (n. Montevideo; September 21, 1964), is a critically acclaimed Uruguayan singer/songwriter who resides in Spain, began his recording career in the early 90's but didn't experience mainstream breakthrough success until his seventh album, Eco (2004), and its Oscar-winning song ''Al Otro Lado Del Río''.

He comes from a Jewish family that fled persecution in Germany. He studied to become an otolaryngologyst (i.e., ear, throat, and nose doctor) like his parents but ultimately chose to pursue his passion for music.  <a href=""https://www.last.fm/music/Jorge+Drexler"">Read more on Last.fm</a>","El Kanka, Silvio Rodríguez, Lisandro Aristimuño, Pedro Guerra, No Te Va Gustar","singer-songwriter, uruguay, cantautor, latin, spanish",0
Lady Gaga,936022291,7337936,"Stefani Joanne Angelina Germanotta, known professionally as Lady Gaga, (born March 28, 1986 in New York, NY) is an American singer, songwriter and actress. She is known for her image reinventions and musical versatility. Gaga began performing as a teenager, singing at open mic nights and acting in school plays. She studied at Collaborative Arts Project 21, through the New York University Tisch School of the Arts, before dropping out to pursue a career in music. <a href=""https://www.last.fm/music/Lady+Gaga"">Read more on Last.fm</a>","Ke$ha, Miley Cyrus, Marina, Addison Rae, Madonna","pop, dance, electronic, female vocalists, female vocalist",1
Royal Philharmonic Orchestra,3587104,355989,"The Royal Philharmonic Orchestra (RPO) is a British orchestra based in London. It tours widely, and is sometimes referred to as ""Britain's national orchestra"". The RPO was founded in 1946 by Sir Thomas Beecham and played its first concert in Croydon on September 15, 1946. Beecham was principal conductor until his death in 1961. He was followed by then assistant conductor Rudolf Kempe, who was given the title of Conductor for Life in 1970. Subsequent musical directors and principal conductors have been Antal Doráti <a href=""https://www.last.fm/music/+noredirect/Royal+Philharmonic+Orchestra"">Read more on Last.fm</a>",,,0
Alice In Chains,196537241,3251384,"Alice in Chains is an American grunge/alternative metal band from Seattle, Washington, formed in 1987 by guitarist/vocalist Jerry Cantrell and drummer Sean Kinney, who then recruited bassist Mike Starr and lead vocalist Layne Staley. Starr was replaced by Mike Inez in 1993. William DuVall joined the band in 2006 as co-lead vocalist and rhythm guitarist, replacing Staley, who died in 2002. The band took its name from Staley's previous group, the glam metal band Alice N' Chains. <a href=""https://www.last.fm/music/Alice+in+Chains"">Read more on Last.fm</a>","Mad Season, Soundgarden, Stone Temple Pilots, Jerry Cantrell, Temple of the Dog","Grunge, alternative rock, rock, hard rock, alternative",0
MGMT,208406324,5025851,"MGMT are an American alternative band which formed in 2002 in Middletown, Connecticut, United States. The band's founding members, Andrew VanWyngarden (lead vocalist, primary songwriter, multi-instrumentalist) and Ben Goldwasser (backing vocalist, multi-instrumentalist), met while attending Wesleyan University, and have remained as the core of the group to this day.

They intially named their project The Management, under which they recorded two demo EPs (which ended up being unofficially leaked online in 2005 as Climbing to New Lows) <a href=""https://www.last.fm/music/MGMT"">Read more on Last.fm</a>","Starfucker, Pond, Vampire Weekend, Tame Impala, Animal Collective","electronic, indie, psychedelic, alternative, indie pop",0
Ben Harper And Relentless7,713091,69467,"Ben Harper and Relentless7 are a Los Angeles, California-based rock band formed in 2008 by Ben Harper.

The current lineup consists of Ben Harper (vocals, guitar/slide guitar),  Jason Mozersky (lead guitar), Jesse Ingalls (bass and keyboards), and Jordan Richardson (drums). 

Harper met Jason Mozersky in the late nineties when Mozersky was working for an Austin, Texas music promoter. Mozersky was chauffering Harper to a gig, and asked if he could play a demo for his band, Wan Santo Condo. <a href=""https://www.last.fm/music/Ben+Harper+and+Relentless7"">Read more on Last.fm</a>","Ben Harper, Ben Harper & The Innocent Criminals, The John Butler Trio, Gary Clark Jr., The Raconteurs","rock, alternative rock, blues rock, alternative, blues",0
Tinashe,78777610,1472789,"Tinashe Jorgensen Kachingwe[1] (/tiːˈnɑːʃeɪ/ tee-NAH-sheh;[2] born February 6, 1993[1]), known mononymously as Tinashe, is an American singer, dancer, and actress.[3] Born in Lexington, Kentucky, Tinashe moved to Pasadena, California as a child, where she pursued work in entertainment. Her notable roles included as a motion-capture model in the animated film The Polar Express (2004), Robin Wheeler in the Cartoon Network television series Out of Jimmy's Head (2007–2008) <a href=""https://www.last.fm/music/Tinashe"">Read more on Last.fm</a>","Normani, Kelela, Victoria Monét, Chlöe, Rochelle Jordan","rnb, pop, soul, Hip-Hop, british",0
Pet Shop Boys,65161361,2188733,"Pet Shop Boys are a British synthpop/dance music duo, consisting of Neil Tennant and Chris Lowe and were formed in London, UK in 1981.

Post-modern ironists cloaked behind a veil of buoyantly melodic and lushly romantic synth pop confections, Pet Shop Boys offer wry yet strangely affecting cultural commentary communicated by the Morse code of synth washes and drum machine rhythms. After first emerging in the mid-'80s with ""West End Girls"" and ""Opportunities (Let's Make Lots of Money) <a href=""https://www.last.fm/music/Pet+Shop+Boys"">Read more on Last.fm</a>","Erasure, Electronic, Orchestral Manoeuvres in the Dark, New Order, Depeche Mode","synthpop, electronic, pop, 80s, new wave",0
Gabriela Rocha,2386714,83380,"Gabriela Rocha Corrêa Moreira (São Paulo, 13 de março de 1994), é uma cantora e compositora brasileira de música cristã contemporânea.

Começou a se tornar conhecida através do concurso Jovens Talentos, no programa de televisão do Raul Gil, onde ingressou em março de 2006 e o venceu em maio de 2007. Desde então, vem sendo um dos maiores nomes da música gospel nacional, emplacando vários hits de sucesso, tanto em carreira solo quanto em dueto a outros artistas. <a href=""https://www.last.fm/music/Gabriela+Rocha"">Read more on Last.fm</a>","Fernandinho, Gabriel Guedes de Almeida, Morada, Casa Worship, Isadora Pompeo","gospel, diva, famale vocalists, religious, cura",0
Mark Knopfler,23958671,816656,"Mark Freuder Knopfler, OBE (born 12 August 1949) is a British singer, guitarist, composer, songwriter, record producer, and film score composer. He was the lead guitarist, lead singer, and songwriter for the rock band Dire Straits, which he co-founded with his younger brother, David Knopfler, in 1977. He was born in Glasgow but raised near Newcastle upon Tyne, England.

Since Dire Straits disbanded in 1995, Knopfler has recorded and produced nine solo albums and, as with his previous band, produced many hit songs. <a href=""https://www.last.fm/music/Mark+Knopfler"">Read more on Last.fm</a>","Mark Knopfler & Emmylou Harris, Dire Straits, Chet Atkins & Mark Knopfler, Chris Rea, John Illsley","rock, classic rock, singer-songwriter, blues, guitar",0
Foo Fighters,347492321,6125551,"Foo Fighters are an American rock band formed in Seattle in 1994. Foo Fighters was initially formed as a one-man project by former Nirvana drummer Dave Grohl. Following the success of the eponymous debut album, Grohl (lead vocals, guitar) recruited a band consisting of Nate Mendel (bass guitar), William Goldsmith (drums), and Pat Smear (guitar). After a succession of lineup changes, including the departures of Goldsmith and Smear, the band formed its core lineup in 1999 consisting of Grohl <a href=""https://www.last.fm/music/Foo+Fighters"">Read more on Last.fm</a>","Taylor Hawkins & The Coattail Riders, Pearl Jam, Audioslave, Them Crooked Vultures, Nirvana","rock, alternative rock, Grunge, alternative, hard rock",1
Paul Giamatti,6016,1395,"Paul Edward Valentine Giamatti was born June 6, 1967. He graduated from Choate Rosemary Hall prep school, majored in English at Yale, and obtained his Master's Degree in Fine Arts, with his major in drama from the Yale University School of Drama.

Paul is the youngest of three children. His older brother, Marcus Giamatti, is also an actor. His sister, Elena, designs jewelry. His father, A. Bartlett Giamatti, was a professor of Renaissance Literature at Yale University, and went on to become the university's youngest president. <a href=""https://www.last.fm/music/Paul+Giamatti"">Read more on Last.fm</a>","Maria Bello, Paul Giamatti & Arnold McCuller, Arnold McCuller/Paul Giamatti, Babyface & Gwyneth Paltrow, Tamara Walker","american, Soundtrack, actors, 00s",0
Coldplay,744426149,8734846,"Coldplay is a British alternative rock and britpop band formed in London in 1997. They consist of vocalist and pianist Chris Martin, guitarist Jonny Buckland, bassist Guy Berryman, drummer Will Champion and creative director Phil Harvey. They met at University College London and began playing music together from 1996 to 1998, initially calling themselves Starfish. Coldplay's music incorporates elements of soft rock, pop rock, piano rock, and post-britpop. <a href=""https://www.last.fm/music/Coldplay"">Read more on Last.fm</a>","Keane, Imagine Dragons, Snow Patrol, OneRepublic, Travis","rock, alternative, britpop, alternative rock, indie",0
Lord Huron,63596097,2118469,"Lord Huron are an American alternative rock band founded by Ben Schneider, a Michigan-born visual arts major. 

Origins:
In the spring of 2010 Schneider traveled from Los Angeles to Northern Michigan. At Lake Huron, he developed songs for the first Lord Huron EP. He named the recording, Into the Sun. Upon his return to L.A., Schneider set to work putting a band together. The first to join him was his percussion-playing childhood friend Mark. Each of the band members of band hail from Michigan. <a href=""https://www.last.fm/music/Lord+Huron"">Read more on Last.fm</a>","Gregory Alan Isakov, The Lumineers, The Head and the Heart, Caamp, The Oh Hellos","folk, psychedelic, indie, indie pop, indie folk",1
Erykah Badu,61326101,1948599,"Erykah Badu (born Erica Abi Wright on February 26, 1971 in Dallas, Texas) is an American R'n'B/neo-soul artist whose work crosses over into jazz. 

She is best known for her singles You Got Me her collaboration with The Roots, as well as her own songs Tyrone, Love of My Life, On & On, Bag Lady, The Healer,  Honey and Soldier. Her lyrics are highly personal urban philosophy which throw emotional challenges in the face of the listener. She weaves unusual musical influences together creating a rich texture of sound. <a href=""https://www.last.fm/music/Erykah+Badu"">Read more on Last.fm</a>","Jill Scott, Solange, Floetry, D'Angelo, Lauryn Hill","soul, Neo-Soul, female vocalists, rnb, jazz",1
KISS,84443005,3016352,"Kiss (often stylized as KIϟϟ) were an American rock band formed in New York City in January 1973 by Paul Stanley, Gene Simmons, Ace Frehley, and Peter Criss. Well known for its members' face paint and stage outfits, the group rose to prominence in the mid–late 1970s with its shocking live performances, which featured fire breathing, blood-spitting, smoking guitars, shooting rockets, levitating drum kits, and pyrotechnics. The band has gone through several lineup changes <a href=""https://www.last.fm/music/Kiss"">Read more on Last.fm</a>","Ace Frehley, Gene Simmons, Paul Stanley, Peter Criss, Vinnie Vincent Invasion","hard rock, glam rock, 70's, Disco, 80s",0
Boyz II Men,13383101,1205197,"Boyz II Men is an American R&B/soul singing group from Philadelphia, Pennsylvania. Founded in 1988 as a quintet, Boyz II Men found fame as a quartet, with members Wanya Morris, Michael McCary, Shawn Stockman, and Nathan Morris, on Motown Records during the early 1990s.

Based on sales, Boyz II Men is one of the most successful R&B groups of all time, having recorded five #1 pop hits between 1992 and 1997. They have since topped sales of 25 million records. <a href=""https://www.last.fm/music/Boyz+II+Men"">Read more on Last.fm</a>","Brian McKnight, All-4-One, Dru Hill, Joe, Babyface","rnb, soul, 90s, pop, r and b",1
NKOTBSB,164768,18626,"In 2010, vocal harmony groups New Kids On The Block and Backstreet Boys, both of which toured extensively together to massive success, joined together to form super-boy band NKOTBSB. They first performed together on the American Music Awards and toured throughout 2011. ""Don't Turn Out the Lights"" was the first single released by the super group, which went on air for the first time on Ryan Seacrest's show. The single was then released on a greatest hits collection CD in May, having five hits from each group on it, as well as on iTunes. <a href=""https://www.last.fm/music/NKOTBSB"">Read more on Last.fm</a>","AJ McLean, Howie D, Nick & Knight, Youngstown, Howie Dorough","pop, dance, BSB, NKOTB, nkotbsb",0
Duran Duran,67972817,2934103,"Duran Duran (named after a character in Roger Vadim's sci-fi classic, Barbarella) are an electronic  pop rock band that was part of the New Wave movement of the 80s and 90s. Duran Duran have sold over 100 million records, making them one of the world's best-selling music artists. They achieved 30 top 40 singles in the UK Singles Chart (14 of them top 10) and 21 top 40 singles in the US Billboard Hot 100. The band have won numerous awards throughout their career: two Brit Awards including the 2004 award for Outstanding Contribution to Music <a href=""https://www.last.fm/music/Duran+Duran"">Read more on Last.fm</a>","Arcadia, The Power Station, Kajagoogoo, Japan, Spandau Ballet","new wave, 80s, pop, synth pop, rock",1
Kings of Leon,258342519,4961858,"Kings of Leon are an American rock band formed in Nashville, Tennessee, in 1999. The band is composed of brothers Caleb, Nathan and Jared Followill, and their cousin Matthew Followill. The band's early music was a blend of Southern rock and garage rock with blues influences, but it has evolved throughout the years to include a variety of genres and a more alternative, arena rock sound. Kings of Leon achieved initial success in the United Kingdom with nine Top 40 singles <a href=""https://www.last.fm/music/Kings+of+Leon"">Read more on Last.fm</a>","The Killers, Cold War Kids, Razorlight, Snow Patrol, The Kooks","rock, indie, indie rock, alternative, Southern Rock",1
T-Pain,26355420,2175174,"Faheem Rasheed Najm (born September 30, 1985 in Tallahassee, Florida), better known by his stage name T-Pain, is a prolific American singer, producer, and writer. At the age of ten he turned his bedroom into a small studio with a keyboard, beat machine and four-track recorder, and he began his career as a rapper in the group Nappy Headz. In 2005 he released his debut album Rappa Ternt Sanga, and has since released 2007's Epiphany and 2008's Thr33 Ringz.  <a href=""https://www.last.fm/music/T-Pain"">Read more on Last.fm</a>","Bow Wow, Baby Bash, Trey Songz, Jamie Foxx, The-Dream","rnb, Hip-Hop, rap, hip hop, Dirty South",1
Cage The Elephant,134983839,3202108,"Cage the Elephant is an alternative rock band which formed in 2005 in Bowling Green, Kentucky, United States.

The band consists of Matt Shultz (vocals), Brad Shultz (guitar), Nick Bockrath (guitar), Daniel Tichenor (bass, vocals), Jared Champion (drums) and Matthan Minster (keyboard, vocals, guitar). 

Their breakthrough single was Ain't No Rest For The Wicked, which peaked at #83 on the Billboard Hot 100, #32 on the UK Singles Chart and #3 on the Billboard Alternative Songs chart. <a href=""https://www.last.fm/music/Cage+the+Elephant"">Read more on Last.fm</a>","Young the Giant, The Strokes, Arctic Monkeys, The Backseat Lovers, Portugal. The Man","indie rock, alternative, rock, indie, punk rock",1
Russell Brand,295335,19245,"Russell Edward Brand (born June 4, 1975 in Grays, Essex, England) is an English stand-up comedian, radio DJ, television presenter, author, newspaper columnist, and actor.

His first major film role was in the 2007 film St Trinian's. He became known to American audiences when he got a major role in Forgetting Sarah Marshall which led to a starring role in 2010's Get Him to the Greek. He has also been a voice actor for animated films such as 2010's Despicable Me and the 2011 film Hop. <a href=""https://www.last.fm/music/Russell+Brand"">Read more on Last.fm</a>","BBC Radio 2, talkSPORT, Ricky Gervais, Ricky Gervais, Stephen Merchant and Karl Pilkington, BBC 6 Music","comedy, podcast, Radio, british, stand-up",0
Afgan,1592783,71979,"Afgan (born Afgan Syahreza; May 27, 1989 in Jakarta, Indonesia), is an Indonesian pop singer and actor. He already released four album, Confession No.1 (2008), The One (2010), L1ve to Love, Love to L1ve (2013) and SIDES (2016).

He won various awards for his works, included Best Pop Male Solo Artist in 2009 and 2012 Indonesian Music Awards, Best Male Artist and Best Album in 2009 Planet Muzik Awards and Best Asian Artist in 2014 Asia Song Festival. <a href=""https://www.last.fm/music/Afgan"">Read more on Last.fm</a>","Tiara Andini, Yovie & Nuno, Maudy Ayunda, Rossa, Hivi!","pop, indonesia, male vocalists, jazz, easy listening",0
Ciara,43422661,2661601,"Ciara Princess Wilson is an American singer. Born in Fort Hood, Texas, her family eventually settled in Atlanta, Georgia, where she joined the girl group Hearsay. She later signed a publishing deal and befriended producer Jazze Pha, who recorded demos that would appear on her debut album. With his help, Ciara signed a record deal with LaFace Records.

In 2004, Ciara released her debut studio album, Goodies. It was certified triple platinum by the <a href=""https://www.last.fm/music/Ciara"">Read more on Last.fm</a>","Kelly Rowland, Keri Hilson, Destiny's Child, Monica, Keyshia Cole","rnb, pop, Hip-Hop, female vocalists, dance",0
El Kanka,1158184,52613," <a href=""https://www.last.fm/music/El+Kanka"">Read more on Last.fm</a>","Muerdo, Jorge Drexler, Pedro Guerra, Rozalén, Joaquín Sabina","cantautor, spanish, spain, singer-songwriter, Espanol",0
Shakira,165316089,4572649,"Shakira Isabel Mebarak Ripoll is a Colombian singer. Born and raised in Barranquilla, She made her recording debut with Sony Music Colombia at the age of 13. Following the commercial failure of her first two albums, Magia (1991) and Peligro (1993), she rose to prominence in Hispanic countries with her next albums, Pies Descalzos (1995) and Dónde Están los Ladrones? (1998). She entered the English-language market with her fifth album, Laundry Service (2001), which sold over 13 million copies worldwide. <a href=""https://www.last.fm/music/Shakira"">Read more on Last.fm</a>","Paulina Rubio, Belinda, Thalía, Gloria Trevi, Julieta Venegas","pop, latin, female vocalists, spanish, rock",1
Kaushik Dutta,19,14," <a href=""https://www.last.fm/music/Kaushik+Dutta"">Read more on Last.fm</a>",,,0
Billy Idol,50143650,2778652,"William Michael Albert Broad, known professionally as Billy Idol, is a British singer, songwriter, musician and actor. He also holds United States citizenship. He first achieved fame in the 1970s emerging from the London punk rock scene as the lead singer of the group Generation X. Subsequently, he embarked on a solo career which led to international recognition and made Idol a lead artist during the MTV-driven ""Second British Invasion"" in the US. The name ""Billy Idol"" was inspired by a schoolteacher's description of him as ""idle"". <a href=""https://www.last.fm/music/Billy+Idol"">Read more on Last.fm</a>","Generation X, INXS, Duran Duran, The Cars, The Police","rock, new wave, 80s, punk, classic rock",1
Leon Russell,1977761,228111,"Leon Russell (Claude Russell Bridges, April 2, 1942 - November 13, 2016) was an American musician and songwriter, who has recorded as a session musician, sideman, and maintained a solo career in music.

Born in Lawton, Oklahoma, United States, Russell began playing piano at the age of four. He attended Will Rogers High School in Tulsa, Oklahoma. Also at Will Rogers High School were Anita Bryant, who was one year older, and in the same 1959 class, David Gates. <a href=""https://www.last.fm/music/Leon+Russell"">Read more on Last.fm</a>","Little Feat, Stephen Stills, Gregg Allman, Dave Mason, Lowell George","classic rock, singer-songwriter, blues, rock, 70s",0
Franz Ferdinand,173589510,4680931,"Franz Ferdinand are a Scottish alternative rock  band that formed in Glasgow, Scotland, United Kingdom, in 2002 and played an important part in the post-punk revival of the 2000s. The band was composed of Alex Kapranos (lead vocals and guitar), Bob Hardy (bass guitar), Nick McCarthy (rhythm guitar, keyboards and backing vocals) and Paul Thomson (drums, percussion and backing vocals) until 2016 when McCarthy left them. The next year  Julian Corrie (keyboards <a href=""https://www.last.fm/music/Franz+Ferdinand"">Read more on Last.fm</a>","FFS, Kaiser Chiefs, Kasabian, The Fratellis, Interpol","indie rock, indie, rock, alternative, britpop",1
Birdy,48080552,1732772,"UK singer-songwriter Jasmine Van den Bogaerde, better known by her professional name Birdy was born on 15th May, 1996. Her mother was a  concert pianist, Sophie (nee Roper-Curzon) and her father, Rupert Bogarde a writer. She was raised in a mill house on the Pylewell Park estate (Lymington, UK) of Birdy’s maternal grandfather, Baron Teynham. She attended Priestlands School in Lymington, UK until the age of 16, before going on to Brockenhurst Sixth Form College to study for her A-levels. <a href=""https://www.last.fm/music/Birdy"">Read more on Last.fm</a>","Gabrielle Aplin, Billie Marten, Rhodes, Freya Ridings, Tom Odell","folk, indie, female vocalists, british, singer-songwriter",0
Irshad Kamil,2991,260," <a href=""https://www.last.fm/music/Irshad+Kamil"">Read more on Last.fm</a>","Prasoon Joshi, Jaideep Sahni, Javed Akhtar, Rajshekhar, Anvita Dutt",,0
El Arrebato,569124,62063,"Javier Labandón, más conocido por su nombre artístico El Arrebato, es un cantautor español de rumba-pop y flamenco.

Comenzó su carrera artística sobre 1985 y su carrera discográfica en 1988 sacando su primer disco con el grupo Piel morena en el que le acompañaban 2 grandes amigos de su Sevilla natal . Con ellos cosechó sus primeros éxitos hasta el 8 de septiembre de 1998, cuando Piel Morena se disolvió definitivamente tras varios cambios en la formación. <a href=""https://www.last.fm/music/El+Arrebato"">Read more on Last.fm</a>","El Barrio, Antonio Orozco, Estopa, Melendi, Andy & Lucas","spanish, Flamenco, rumbapop, espanyol, spain",0
Michael Jackson,311801434,6415426,"Michael Joseph Jackson (born August 29, 1958, Gary, Indiana; died June 25, 2009, Los Angeles, California), was an American singer, songwriter, and dancer. Dubbed the ""King of Pop"", he is widely regarded as one of the most significant cultural figures of the 20th century and one of the greatest entertainers of all time. He was also known for his philanthropy, charitable fundraising, and lifestyle, residing in a private amusement park he called ""Neverland Ranch"", as well as frequently becoming the focus of tabloid scrutiny. <a href=""https://www.last.fm/music/Michael+Jackson"">Read more on Last.fm</a>","The Jacksons, The Jackson 5, Michael Jackson & Paul McCartney, 3T, Jermaine Jackson","pop, 80s, dance, soul, funk",0
Keyshia Cole,19376274,1515607,"Keyshia Myeshia Cole (born October 15, 1981) better known as Keyshia Cole  is an American R&B singer, songwriter, and television personality. She was born in Oakland, California. Her career began when she met MC Hammer at the age of 12, and later met rapper 2pac. At the age of 18, she moved to Los Angeles and was later introduced to A&M Records.

In 2005, she released her debut album The Way It Is. It sold over 1.6 million copies and spawned the hit singles I Changed My Mind, I Should Have Cheated, and Love. <a href=""https://www.last.fm/music/Keyshia+Cole"">Read more on Last.fm</a>","Monica, K. Michelle, Fantasia, Mary J. Blige, Tamar Braxton","rnb, soul, female vocalists, keyshia cole, Hip-Hop",1
